"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"184","Stefon Diggs","WR","NE",157,12.1,1.04,146,181,-5.57,8.45,-17.4,183,94,300,40,6,97.3,11,17,185,-28,-13
"185","Theo Johnson","TE","NYG",88.7,17.4,1.99,63.8,113,-27.8,-41.5,-28.8,185,476,427,31,7,187,1.24,77,117,-28.3,-81.3
"186","Ricky Pearsall","WR","SF",156,23.4,0.292,121,198,-6.61,-16.7,0,186,275,130,42,6,92.9,9,72,185,-29,-14
"187","Jordan Addison","WR","MIN",156,21.8,0.42,139,201,-6.9,0.924,3.16,186,119,108,42,6,106,4.14,62,185,-29,-14
"188","Matthew Wright","K","CAR",115,17.7,16.4,88,133,-30.9,-50,-24,186,499,383,32,5,,,74,144,-29,-9999
"189","Michael Pittman","WR","IND",155,12.1,2.38,135,169,-7.32,-2.66,-28.8,189,149,426,44,6,106,9.4,25,185,-30,-15
"190","Robbie Ouzts","TE","SEA",86.7,,4.72,,,-29.8,,,190,,,32,7,,,99,117,-30.3,-83.3
"191","Austin Ekeler","RB","WAS",145,14.7,8.88,117,159,12.8,12.7,-0.211,191,81,135,31,9,111,6.77,39,176,-31,-25
"192","Cooper Kupp","WR","SEA",153,21.9,1.19,131,195,-9.7,-7.35,-3.34,192,186,161,45,7,92,13.8,64,185,-32,-17
"193","Jayden Reed","WR","GB",152,17.3,0.939,136,186,-10.9,-1.87,-12.3,193,141,242,46,7,115,3.14,39,185,-33,-18
"194","Chris Godwin","WR","TB",151,29.1,3.26,123,203,-11.8,-14.8,4.58,194,254,100,47,7,105,5.84,83,185,-34,-19
"195","Geno Smith","QB","LVR",291,16.4,0.726,270,311,-29.7,-34.9,-40.1,195,443,498,21,7,150,3.85,23,326,-35,-9999
"196","Elijah Arroyo","TE","SEA",82,26.6,7.5,40.9,115,-34.5,-64.3,-26.9,195,536,411,33,8,176,6.16,97,117,-35,-88
"197","Matthew Stafford","QB","LAR",290,18.5,0.0255,267,315,-30.4,-37.3,-36.2,197,459,473,22,7,147,3.97,37,326,-36,-9999
"198","Tua Tagovailoa","QB","MIA",290,23.4,1.25,259,323,-30.5,-45.3,-28.4,197,485,423,22,7,140,3.6,54,326,-36,-9999
"199","Bryce Young","QB","CAR",289,19,0.603,262,313,-31.7,-43.1,-38.5,199,481,491,24,7,154,2.94,34,326,-37,-9999
"200","Khalil Shakir","WR","BUF",147,17.9,0.0715,121,175,-15.1,-16.6,-22.9,200,273,368,48,7,116,4.38,46,185,-38,-23
"201","Rashid Shaheed","WR","NO",147,11.4,2.89,130,163,-15.2,-8,-35.1,200,189,465,48,7,146,2.97,14,185,-38,-23
"202","Michael Penix Jr.","QB","ATL",288,13,7.44,272,308,-32.3,-32.5,-42.8,200,429,508,25,8,152,2.84,20,326,-38,-9999
"203","Travis Etienne","RB","JAC",136,19.9,1.97,106,165,3.91,2.17,5.83,203,108,92,32,10,95.6,15,45,176,-40,-34
"204","Josh Downs","WR","IND",144,17.4,2.43,129,174,-18.1,-9.48,-23.8,204,207,381,50,7,130,2.85,40,185,-41,-26
"205","J.K. Dobbins","RB","DEN",134,24.8,1.54,104,177,1.93,0,17.6,205,130,66,33,10,106,7.66,75,176,-42,-36
"206","Will Dissly","TE","LAC",74.5,13.7,2.78,51.6,86.3,-42,-53.7,-55.4,206,514,556,34,8,170,1.1,83,117,-42.5,-95.5
"207","Emeka Egbuka","WR","TB",142,24.4,0.456,108,184,-20.5,-29.5,-14.2,207,409,262,51,7,96.8,13.1,76,185,-43,-28
"208","Keon Coleman","WR","BUF",142,17.1,6.31,118,166,-20.9,-19.6,-32.2,207,309,447,51,7,116,3.58,49,185,-43,-28
"209","Zach Charbonnet","RB","SEA",132,15.4,0.39,114,160,0.39,9.9,0,209,87,130,34,10,117,5.91,21,176,-44,-38
"210","Javonte Williams","RB","DAL",132,14.3,3.4,113,147,0,9.06,-12.2,209,91,241,34,10,115,7.62,27,176,-44,-38
"211","Sam Darnold","QB","SEA",281,17.3,4.22,253,303,-39.8,-51.8,-48,211,508,525,26,8,149,4.65,17,326,-45,-9999
"212","Cole Kmet","TE","CHI",71.7,28.5,0.708,34.4,117,-44.8,-70.9,-24.6,212,551,390,35,8,165,2.68,94,117,-45.3,-98.3
"213","Ja'Tavion Sanders","TE","CAR",71,16.7,0.229,40.6,87.9,-45.5,-64.7,-53.8,213,537,553,36,8,170,2.77,69,117,-46,-99
"214","Rhamondre Stevenson","RB","NE",128,23.8,12.4,95.1,160,-3.4,-8.76,0.258,214,196,126,36,11,109,6.54,59,176,-48,-42
"215","Marvin Mims","WR","DEN",135,24.2,7.5,107,174,-27.3,-31.1,-23.7,215,419,376,53,8,143,3.56,82,185,-50,-35
"216","Aaron Rodgers","QB","PIT",276,23.8,5.97,256,320,-44,-48.3,-31.3,215,496,441,27,8,152,9.53,49,326,-50,-9999
"217","Cam Ward","QB","TEN",270,26.5,47.6,231,307,-50,-73.4,-44.5,217,559,513,28,9,154,6.41,60,326,-56,-9999
"218","Rashod Bateman","WR","BAL",128,19.6,2.83,103,155,-34.8,-35.1,-42.7,218,446,506,54,8,143,4.67,61,185,-57,-42
"219","Rachaad White","RB","TB",116,15.7,0.152,92.9,136,-15.8,-10.9,-23.6,219,217,374,37,11,123,7.54,48,176,-60,-54
"220","Tank Bigsby","RB","JAC",116,22.6,0.263,84.3,146,-15.9,-19.6,-13.7,219,308,253,37,11,114,3.97,63,176,-60,-54
"221","Tyjae Spears","RB","TEN",116,15.8,0.185,90.8,133,-16.2,-13.1,-26.2,219,231,405,37,11,143,2.81,42,176,-60,-54
"222","Jordan Mason","RB","MIN",116,18.8,2.39,77.5,130,-16.4,-26.4,-29.2,219,376,428,37,11,101,7.51,46,176,-60,-54
"223","Adam Thielen","WR","CAR",125,17.2,0.686,102,148,-37.6,-36.2,-50.6,219,454,533,55,8,155,2.81,58,185,-60,-45
"224","Keenan Allen","WR","LAC",124,24.3,0.157,96.7,155,-38.3,-41.3,-42.9,224,475,509,56,8,127,4.61,97,185,-61,-46
"225","Darnell Mooney","WR","ATL",124,52.4,7.16,14.2,167,-38.4,-124,-31,224,768,439,56,8,131,3.4,96,185,-61,-46
"226","Quinshon Judkins","RB","CLE",113,55.3,0.668,8.61,184,-18.7,-95.3,24.4,226,642,55,41,11,112,5.48,99,176,-63,-57
"227","Jacory Croskey-Merritt","RB","WAS",112,44.8,0.739,21.5,151,-19.4,-82.3,-8.95,227,591,205,42,11,104,12.7,97,176,-64,-58
"228","Jerome Ford","RB","CLE",112,24.1,2.82,84.9,158,-20.2,-19,-1.64,227,301,144,42,11,136,4.26,76,176,-64,-58
"229","Cam Skattebo","RB","NYG",109,22,3.7,89.2,151,-23,-14.7,-8.5,229,251,204,44,11,118,5.09,62,176,-67,-61
"230","Wan'Dale Robinson","WR","NYG",117,19,0.00173,86.6,137,-45.6,-51.4,-60.9,230,507,564,58,8,165,2.47,74,185,-68,-53
"231","Brandon Aiyuk","WR","SF",117,38,0.0791,85.1,196,-45.6,-52.9,-2.17,230,511,149,58,8,142,5.43,90,185,-68,-53
"232","Christian Kirk","WR","HOU",117,15.5,1.03,102,142,-45.7,-35.7,-56.5,230,451,558,58,8,153,3.47,47,185,-68,-53
"233","Cedric Tillman","WR","CLE",116,19.1,2.12,79.4,136,-46.7,-58.7,-62.5,233,521,567,61,9,170,2.93,57,185,-69,-54
"234","Najee Harris","RB","LAC",105,25.5,8.57,74.5,141,-26.7,-29.4,-18.5,234,407,316,45,12,127,5.23,82,176,-71,-65
"235","Jayden Higgins","WR","HOU",114,37.4,0.0251,46.6,161,-48.8,-91.4,-37.4,234,625,480,62,9,142,4.18,93,185,-71,-56
"236","Marquise Brown","WR","KC",114,32.6,0.356,47.5,147,-48.9,-90.5,-51,234,619,537,62,9,150,3.01,86,185,-71,-56
"237","Xavier Legette","WR","CAR",113,20.4,1.89,86.1,140,-49.2,-51.9,-57.9,237,509,559,64,9,155,1.33,68,185,-72,-57
"238","Romeo Doubs","WR","GB",111,20.1,0.403,89.8,138,-51.1,-48.2,-60,238,495,563,65,9,158,1.73,65,185,-74,-59
"239","Demario Douglas","WR","NE",111,19.4,2.3,84.3,135,-51.5,-53.7,-63.6,238,515,569,65,9,167,1.99,75,185,-74,-59
"240","Amari Cooper","WR","FA",109,56.1,4.75,48.3,149,-53.8,-89.7,-49.5,240,616,528,67,9,113,4.86,99,185,-76,-61
"241","Ray Davis","RB","BUF",96.6,29.1,1.22,58.3,149,-35.2,-45.6,-10.8,241,488,224,46,12,145,2.32,72,176,-79.4,-73.4
"242","Trey Benson","RB","ARI",95.4,12.9,2.64,79.8,114,-36.5,-24.1,-45.9,242,361,516,47,12,141,5.88,28,176,-80.6,-74.6
"243","Michael Wilson","WR","ARI",104,18.3,1.61,82,130,-58.6,-56,-67.8,243,519,580,68,9,182,1.74,71,185,-81,-66
"244","Quentin Johnston","WR","LAC",102,32.7,1.5,59.3,146,-60.2,-78.7,-51.8,244,575,540,69,9,166,2.54,88,185,-83,-68
"245","Nick Chubb","RB","HOU",92.8,27.6,0.836,57.6,128,-39.1,-46.3,-31.5,245,491,442,48,12,133,6.66,86,176,-83.2,-77.2
"246","Tyler Lockett","WR","TEN",101,24.8,0.3,76.1,149,-61.7,-61.9,-49.6,246,526,529,70,9,177,2.23,85,185,-84,-69
"247","Alec Pierce","WR","IND",101,33.5,1.13,59.1,146,-62,-78.9,-51.9,246,576,542,70,9,176,1.99,89,185,-84,-69
"248","Tyler Allgeier","RB","ATL",91.9,9.93,0.321,73.6,105,-39.9,-30.3,-54.7,248,418,555,49,12,150,3.41,7,176,-84.1,-78.1
"249","Rico Dowdle","RB","CAR",91.6,18.7,0.252,72.1,125,-40.3,-31.8,-34.5,249,424,462,50,12,154,2.59,58,176,-84.4,-78.4
"250","Braelon Allen","RB","NYJ",91.4,17.6,4.93,71.3,114,-40.5,-32.6,-45.3,250,430,515,51,12,138,6.71,55,176,-84.6,-78.6
"251","Luther Burden","WR","CHI",99.4,27.6,0.871,59.7,147,-63.1,-78.3,-51.7,251,573,539,72,9,157,4.36,81,185,-85.6,-70.6
"252","Ray-Ray McCloud","WR","ATL",98.5,22.3,3.28,63.4,130,-64,-74.6,-67.8,252,562,579,73,10,180,1.94,94,185,-86.5,-71.5
"253","Jaydon Blue","RB","DAL",86.4,36.5,0.0867,17.7,126,-45.4,-86.2,-33.9,253,604,457,52,12,141,4.84,90,176,-89.6,-83.6
"254","Kareem Hunt","RB","KC",86.3,14.5,4,67.3,112,-45.5,-36.6,-47.2,254,456,522,53,12,148,2.92,49,176,-89.7,-83.7
"255","Brian Robinson","RB","WAS",82.3,20.4,0.933,66,117,-49.5,-37.9,-42.9,255,464,510,54,12,118,4.17,79,176,-93.7,-87.7
"256","Bhayshul Tuten","RB","JAC",81.4,23.1,3.67,43.9,114,-50.5,-60,-46,256,523,517,55,13,149,3.61,80,176,-94.6,-88.6
"257","Dylan Sampson","RB","CLE",77.7,39.2,0.243,17.4,132,-54.1,-86.5,-27.3,257,606,415,56,13,158,3.27,92,176,-98.3,-92.3
"258","Justice Hill","RB","BAL",77.5,16.5,0.39,43.8,92.9,-54.4,-60,-66.6,258,524,574,57,13,173,2.17,61,176,-98.5,-92.5
"259","Jaylen Wright","RB","MIA",77.1,13.7,5.23,61.1,100,-54.8,-42.7,-59.4,259,479,561,58,13,167,1.88,51,176,-98.9,-92.9
"260","Russell Wilson","QB","NYG",223,54,6.46,136,284,-97.6,-169,-66.8,260,821,576,29,9,144,3.79,80,326,-103,-9999
"261","Roschon Johnson","RB","CHI",71.9,11.3,1.74,63.6,93.4,-60,-40.3,-66.1,261,472,572,59,13,173,3.06,38,176,-104.1,-98.1
"262","Woody Marks","RB","HOU",70.1,20.9,5.72,53.6,106,-61.7,-50.3,-53.6,262,501,551,60,13,174,3.06,85,176,-105.9,-99.9
"263","Daniel Jones","QB","IND",216,83.9,39.8,55.2,314,-104,-249,-36.6,263,823,475,30,10,150,6.53,89,326,-110,-9999
"264","MarShawn Lloyd","RB","GB",64.4,30.4,0.691,25.7,108,-67.5,-78.2,-51.8,264,572,541,61,13,162,2.97,87,176,-111.6,-105.6
"265","Ty Johnson","RB","BUF",63.7,18.1,1.29,45,91.8,-68.2,-58.8,-67.7,265,522,578,62,14,170,1.33,65,176,-112.3,-106.3
"266","Kendre Miller","RB","NO",62.4,21.6,0.128,45.9,106,-69.4,-58,-53.6,266,520,550,63,14,174,3.16,73,176,-113.6,-107.6
"267","Gus Edwards","RB","FA",62.3,,3.36,,,-69.6,,,267,,,64,14,,,99,176,-113.7,-107.7
"268","Miles Sanders","RB","DAL",58.9,15.2,0.681,38.1,79.9,-72.9,-65.8,-79.6,268,541,605,65,14,192,2.39,56,176,-117.1,-111.1
"269","Raheem Mostert","RB","LVR",58.3,26.5,1.16,22.2,103,-73.6,-81.7,-56.1,269,586,557,66,14,176,2.15,83,176,-117.7,-111.7
"270","Cordarrelle Patterson","RB","FA",57.1,,0.232,,,-74.8,,,270,,,67,14,,,96,176,-118.9,-112.9
"271","Isaac Guerendo","RB","SF",56.9,18.6,0.344,30.5,79.5,-75,-73.3,-80.1,271,558,606,68,14,158,2.22,69,176,-119.1,-113.1
"272","Zamir White","RB","LVR",56.5,22.7,0.287,42.1,88.6,-75.4,-61.7,-70.9,272,525,587,69,14,,2.93,70,176,-119.5,-113.5
"273","Antonio Gibson","RB","NE",56.2,32,0.65,8.8,85.8,-75.6,-95.1,-73.7,273,640,591,70,14,170,2.21,89,176,-119.8,-113.8
"274","Devin Singletary","RB","NYG",55.6,24.2,0.285,13.3,84.9,-76.3,-90.6,-74.7,274,620,597,71,14,180,2.24,77,176,-120.4,-114.4
"275","Chris Rodriguez","RB","WAS",55.3,18.6,0.152,34.6,84.8,-76.6,-69.2,-74.8,275,549,598,72,14,183,5.61,93,176,-120.7,-114.7
"276","Tyler Shough","QB","NO",176,56.4,23.3,93.3,278,-144,-211,-73.3,276,822,590,31,11,174,4.25,83,326,-150,-9999
"277","Joe Flacco","QB","CLE",153,74.6,24.4,51.8,266,-167,-253,-85.4,277,824,614,32,12,166,4.55,86,326,-173,-9999
"278","Anthony Richardson","QB","IND",129,107,36.6,9.06,292,-192,-296,-59.5,278,829,562,33,13,124,5.89,91,326,-197,-9999
"279","Kirk Cousins","QB","ATL",92.1,119,0.769,0.599,257,-228,-304,-93.9,279,844,630,34,13,149,1.9,97,326,-233.9,-9999
"280","Spencer Rattler","QB","NO",91.3,92.3,21.6,-4.95,261,-229,-310,-89.8,280,867,622,35,14,172,2.63,94,326,-234.7,-9999
"281","Deshaun Watson","QB","CLE",69.7,34.8,17.4,45.9,93.8,-251,-259,-257,281,825,830,36,15,,2.28,99,326,-256.3,-9999
"282","Brian Branch","DB","DET",107,8.2,3.58,102,113,17.8,17.9,15.1,,69,70,,1,,9.38,18,,,-9999
"283","Kerby Joseph","DB","DET",104,8.84,0.657,98.1,110,14.2,13.9,12,,78,78,,1,,18.8,65,,,-9999
"284","Jessie Bates","DB","ATL",103,4.17,2.58,100,106,13.6,16.2,7.95,,72,85,,1,,16.6,11,,,-9999
"285","Zack Baun","LB","PHI",101,9.12,1.36,95.1,108,11.5,7.87,15.7,,95,68,,1,,15.8,35,,,-9999
"286","Julian Love","DB","SEA",101,0.849,0.545,100,101,11,15.7,2.93,,73,110,,1,,7.13,1,,,-9999
"287","Maxx Crosby","DL","LVR",53.9,3.25,1.22,51.5,56,10.5,11.4,9.95,,85,80,,1,,17,13,,,-9999
"288","Kyle Hamilton","DB","BAL",100,4.6,1.91,97.1,103,10.5,12.8,5.14,,80,95,,1,,24.1,9,,,-9999
"289","Zaire Franklin","LB","IND",99.6,2.12,2.26,98.1,101,10.1,10.8,9.02,,86,84,,1,,17.9,2,,,-9999
"290","Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.32,11.9,7.38,,84,87,,2,,9.98,1,,,-9999
"291","Andrew Van Ginkel","DL","MIN",52.6,0.99,5.65,52,53.4,9.32,11.9,7.38,,84,87,,2,,9.98,42,,,-9999
"292","Julian Blackmon","DB","NO",98.1,,0.0388,,,8.54,,,,,,,1,,7.7,99,,,-9999
"293","Reed Blankenship","DB","PHI",98.1,6.51,2.16,93.9,103,8.5,9.63,4.59,,89,99,,2,,10.7,24,,,-9999
"294","Fred Warner","LB","SF",97.4,0.99,2.22,96.6,98,7.88,9.36,6.04,,90,91,,1,,17.9,1,,,-9999
"295","Budda Baker","DB","ARI",95.9,2.9,5.3,94,98,6.34,9.78,-0.221,,88,136,,2,,9.96,2,,,-9999
"296","Robert Spillane","LB","NE",95.1,3.25,0.762,93,97.5,5.66,5.78,5.57,,98,94,,1,,11,20,,,-9999
"297","Foyesade Oluokun","LB","JAC",94.4,6.36,3.2,90.3,99,4.9,3.03,7.09,,105,89,,2,,35.5,37,,,-9999
"298","Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,3.67,3.81,4.58,,101,101,,2,,6.17,32,,,-9999
"299","Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,3.67,3.81,4.58,,101,101,,2,,6.17,84,,,-9999
"300","T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.01,2.17,3.92,,109,104,,2,,16.8,24,,,-9999
"301","T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.01,2.17,3.92,,109,104,,2,,16.8,67,,,-9999
"302","Aidan Hutchinson","DL","DET",46.2,4.24,0.484,43.1,48.9,2.89,3.04,2.94,,104,109,,2,,14.2,14,,,-9999
"303","Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.41,1.82,4.15,,115,103,,2,,8.59,28,,,-9999
"304","Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.41,1.82,4.15,,115,103,,2,,8.59,89,,,-9999
"305","Daiyan Henley","LB","LAC",91.2,1.27,0.194,90.2,92,1.69,2.97,0.0315,,106,129,,2,,7.3,22,,,-9999
"306","Anfernee Jennings","DL","NE",45,,1.57,,,1.67,,,,,,,3,,,91,,,-9999
"307","T.J. Edwards","LB","CHI",91,1.48,1.2,90,92.1,1.5,2.76,0.114,,107,127,,2,,11.6,15,,,-9999
"308","Kevin Byard","DB","CHI",90.6,11.6,1.04,83.2,99.1,1.04,-1.09,0.866,,135,122,,3,,14.7,55,,,-9999
"309","Ernest Jones","LB","SEA",89.8,3.39,0.019,87.3,91.9,0.305,0.0173,0,,128,130,,2,,12.1,17,,,-9999
"310","Bobby Okereke","LB","NYG",89.8,4.95,0.286,86.1,92.9,0.286,-1.14,0.977,,137,121,,2,,12.5,50,,,-9999
"311","Jared Verse","DL","LAR",43.4,7.28,0.0524,38.1,48.1,0.099,-1.99,2.09,,142,116,,3,,,47,,,-9999
"312","Jared Verse","DL","LAR",43.4,7.28,0.0524,38.1,48.1,0.099,-1.99,2.09,,142,116,,3,,,99,,,-9999
"313","Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.0466,1.18,-0.181,,117,134,,3,,7.39,49,,,-9999
"314","Bradley Chubb","DL","MIA",43.4,3.32,0.0466,41.2,45.8,0.0466,1.18,-0.181,,117,134,,3,,7.39,94,,,-9999
"315","Derrick Brown","DL","CAR",43.3,10.2,0.459,35.8,49.8,0,-4.22,3.85,,160,105,,3,,,82,,,-9999
"316","Jamien Sherwood","LB","NYJ",89.5,2.33,0.232,87.8,91,0,0.491,-0.984,,124,140,,2,,11.3,12,,,-9999
"317","Antoine Winfield","DB","TB",89.6,8.49,0.347,84.1,95.8,0,-0.138,-2.46,,133,150,,3,,7.99,27,,,-9999
"318","Roquan Smith","LB","BAL",89.2,2.69,0.766,87.3,91,-0.232,0,-0.99,,130,141,,2,,46.6,3,,,-9999
"319","Calen Bullock","DB","HOU",89.2,4.6,1.21,86.3,92.6,-0.347,2,-5.66,,111,180,,3,,,85,,,-9999
"320","Myles Garrett","DL","CLE",42.9,4.38,0.964,40.1,46.1,-0.459,0,0.0935,,130,128,,3,,21.2,16,,,-9999
"321","Nick Bolton","LB","KC",88.5,5.3,2.33,85.1,92.4,-0.998,-2.19,0.42,,144,125,,3,,9.77,38,,,-9999
"322","Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-1.42,1.74,-4,,116,167,,3,,5.23,3,,,-9999
"323","Khalil Mack","DL","LAC",41.9,0.141,0.223,41.8,42,-1.42,1.74,-4,,116,167,,3,,5.23,38,,,-9999
"324","Camryn Bynum","DB","IND",88,0.919,0.387,87.4,88.7,-1.56,3.15,-9.57,,103,208,,3,,,13,,,-9999
"325","Jeffery Simmons","DL","TEN",41.7,3.54,0.12,39.1,43.9,-1.65,-0.978,-2.05,,134,147,,3,,6.53,18,,,-9999
"326","Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.77,-0.111,-3.03,,132,157,,3,,11.6,19,,,-9999
"327","Josh Allen","DL","JAC",41.6,2.19,0.128,40,43,-1.77,-0.111,-3.03,,132,157,,3,,11.6,66,,,-9999
"328","Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.89,-0.0325,-2.95,,131,155,,3,,4.01,5,,,-9999
"329","Harold Landry","DL","NE",41.4,2.19,0.436,40,43,-1.89,-0.0325,-2.95,,131,155,,3,,4.01,73,,,-9999
"330","Coby Bryant","DB","SEA",87.6,33.3,0.445,66.3,112,-1.94,-18,13.8,,292,73,,3,,6.29,98,,,-9999
"331","Brian Burns","DL","NYG",41,0,0.646,41,41,-2.33,0.935,-5,,118,175,,3,,8.21,1,,,-9999
"332","Brian Burns","DL","NYG",41,0,0.646,41,41,-2.33,0.935,-5,,118,175,,3,,8.21,48,,,-9999
"333","Brandon Jones","DB","DEN",87.2,14,0.145,78.2,97.5,-2.39,-6.06,-0.793,,173,138,,3,,7.75,51,,,-9999
"334","Jordan Battle","DB","CIN",87,4.31,1.79,84.3,90.2,-2.53,0,-8.06,,130,200,,3,,8.54,58,,,-9999
"335","Cameron Heyward","DL","PIT",40.4,6.65,0.0972,36.1,45.2,-2.98,-3.97,-0.762,,156,137,,3,,4.56,53,,,-9999
"336","Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-3.07,-6.25,-0.129,,174,132,,4,,12.1,63,,,-9999
"337","Danielle Hunter","DL","HOU",40.3,8.77,0.284,33.8,45.9,-3.07,-6.25,-0.129,,174,132,,4,,12.1,99,,,-9999
"338","Kaden Elliss","LB","ATL",86.1,0.212,0.158,86,86.3,-3.33,-1.26,-5.65,,140,179,,3,,30.2,5,,,-9999
"339","Leonard Williams","DL","SEA",40,8.2,0.248,34.7,46,-3.36,-5.34,0,,169,130,,4,,5.88,72,,,-9999
"340","Lavonte David","LB","TB",86,1.56,0.6,84.8,87,-3.49,-2.43,-4.97,,147,173,,3,,23.4,10,,,-9999
"341","Trey Hendrickson","DL","CIN",39.7,7.21,0.497,35.1,45,-3.61,-4.96,-0.976,,165,139,,4,,11.1,41,,,-9999
"342","Jordyn Brooks","LB","MIA",85.4,5.16,0.407,82.1,89.2,-4.09,-5.19,-2.78,,167,152,,3,,9.53,33,,,-9999
"343","Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-4.1,-4.19,-2.93,,159,153,,4,,7.54,62,,,-9999
"344","Jaelan Phillips","DL","MIA",39.2,5.23,0.175,35.9,43.1,-4.1,-4.19,-2.93,,159,153,,4,,7.54,87,,,-9999
"345","DeForest Buckner","DL","IND",39.1,10.6,0.273,31.3,45.8,-4.28,-8.81,-0.157,,197,133,,4,,7.82,77,,,-9999
"346","Nick Cross","DB","IND",85.2,7.99,0.166,80.1,91.1,-4.32,-4.15,-7.15,,158,193,,3,,8.02,49,,,-9999
"347","Trevon Moehrig","DB","CAR",85.1,9.26,0.4,79.1,91.9,-4.49,-5.13,-6.38,,166,188,,3,,11.1,56,,,-9999
"348","Alex Singleton","LB","DEN",85,4.31,0.0126,81.8,87.7,-4.5,-5.46,-4.21,,170,169,,3,,12,25,,,-9999
"349","Alex Anzalone","LB","DET",85,3.11,0.678,82.7,87,-4.51,-4.59,-5,,162,174,,3,,6.07,40,,,-9999
"350","Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.55,-4,-4.1,,157,168,,4,,8.26,22,,,-9999
"351","Alex Highsmith","DL","PIT",38.8,4.24,0.0486,36.1,41.9,-4.55,-4,-4.1,,157,168,,4,,8.26,59,,,-9999
"352","Nick Bosa","DL","SF",38.7,3.46,0.579,36.2,40.9,-4.6,-3.88,-5.05,,155,176,,4,,10.8,11,,,-9999
"353","Derwin James","DB","LAC",84.7,2.55,0.444,83,86.5,-4.89,-1.23,-11.7,,138,234,,3,,18.1,4,,,-9999
"354","Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-5.18,-2.64,-7.21,,148,197,,4,,,15,,,-9999
"355","Jermaine Johnson","DL","NYJ",38.2,0.99,0.659,37.4,38.8,-5.18,-2.64,-7.21,,148,197,,4,,,68,,,-9999
"356","Logan Wilson","LB","CIN",84.3,10.3,0.775,76.8,90.8,-5.19,-10.5,-1.1,,213,142,,3,,10.7,45,,,-9999
"357","Jeremy Chinn","DB","LVR",84.2,3.39,0.158,82.1,86.7,-5.33,-2.21,-11.5,,146,231,,3,,5.88,5,,,-9999
"358","Grant Delpit","DB","CLE",84.1,1.63,0.765,83,85.3,-5.49,-1.24,-13,,139,248,,4,,11.3,7,,,-9999
"359","Will Anderson","DL","HOU",37.5,6.86,0.55,33.1,42.5,-5.84,-6.96,-3.47,,180,162,,4,,9.96,34,,,-9999
"360","Quincy Williams","LB","NYJ",83.5,0.778,0.335,83,84.1,-5.96,-4.25,-7.87,,161,198,,3,,9.17,13,,,-9999
"361","Chamarri Conner","DB","KC",83.3,,0.447,,,-6.26,,,,,,,4,,,96,,,-9999
"362","Bobby Wagner","LB","WAS",83.2,4.31,0.227,80,85.9,-6.3,-7.26,-6.01,,185,184,,3,,18.5,27,,,-9999
"363","Micah Parsons","DL","DAL",36.9,4.67,0.15,33.5,39.9,-6.39,-6.55,-6.07,,177,186,,4,,21.1,23,,,-9999
"364","Micah Parsons","DL","DAL",36.9,4.67,0.15,33.5,39.9,-6.39,-6.55,-6.07,,177,186,,4,,21.1,56,,,-9999
"365","Tyrel Dodson","LB","MIA",82.9,10.6,1.48,76.2,90.7,-6.52,-11.1,-1.21,,218,143,,4,,8.5,52,,,-9999
"366","Carl Granderson","DL","NO",36.8,9.48,0.00836,29.8,42.9,-6.54,-10.2,-3.14,,211,158,,4,,,86,,,-9999
"367","Gregory Rousseau","DL","BUF",36.8,6.43,0.796,32.1,40.9,-6.55,-8.01,-5.09,,190,177,,4,,11.8,37,,,-9999
"368","Byron Murphy","DB","MIN",82.9,2.83,0.0758,81,84.9,-6.71,-3.22,-13.3,,153,252,,4,,5.4,78,,,-9999
"369","Tyrique Stevenson","DB","CHI",82.8,3.32,0.466,80.6,85.2,-6.78,-3.61,-13,,154,250,,4,,,91,,,-9999
"370","Xavier McKinney","DB","GB",82.3,11.7,0.309,73.7,89.8,-7.25,-10.6,-8.42,,214,203,,4,,11.3,36,,,-9999
"371","Kobie Turner","DL","LAR",36,4.6,0.0797,32.6,38.9,-7.34,-7.45,-7.07,,187,192,,4,,,25,,,-9999
"372","D.J. Wonnum","DL","CAR",35.9,7.5,0.602,31.1,41.4,-7.42,-8.95,-4.58,,198,171,,5,,6.96,76,,,-9999
"373","DeShon Elliott","DB","PIT",82,7.64,0.602,77.1,87.6,-7.56,-7.15,-10.6,,184,220,,4,,12.9,38,,,-9999
